IdBNF	name	year	editions
<http://data.bnf.fr/ark:/12148/cb12029218n#about>	Derek Walcott	1989	1
<http://data.bnf.fr/ark:/12148/cb12029218n#about>	Derek Walcott	1992	1
<http://data.bnf.fr/ark:/12148/cb12029218n#about>	Derek Walcott	1993	1
<http://data.bnf.fr/ark:/12148/cb12029218n#about>	Derek Walcott	1997	1
<http://data.bnf.fr/ark:/12148/cb12029218n#about>	Derek Walcott	1999	1
<http://data.bnf.fr/ark:/12148/cb12029218n#about>	Derek Walcott	2000	1
<http://data.bnf.fr/ark:/12148/cb12029218n#about>	Derek Walcott	2002	1
<http://data.bnf.fr/ark:/12148/cb12029218n#about>	Derek Walcott	2004	2
<http://data.bnf.fr/ark:/12148/cb12029218n#about>	Derek Walcott	2005	1
<http://data.bnf.fr/ark:/12148/cb12029218n#about>	Derek Walcott	2016	1
<http://data.bnf.fr/ark:/12148/cb12029218n#about>	Derek Walcott	2018	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	1928	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	1929	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	1940	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	1943	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	1946	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	1948	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	1963	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	1974	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	1995	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	2000	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	2001	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	2004	1
<http://data.bnf.fr/ark:/12148/cb13091985c#about>	Frans Eemil Sillanpää	2008	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	1959	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	1970	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	1971	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	1973	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	1977	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	1979	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	1980	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	1989	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	1996	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	1998	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	2003	2
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	2008	1
<http://data.bnf.fr/ark:/12148/cb118881863#about>	Samuel Joseph Agnon	2014	1
<http://data.bnf.fr/ark:/12148/cb12175041v#about>	Erik Axel Karlfeldt	1962	1
<http://data.bnf.fr/ark:/12148/cb11885602w#about>	Vicente Aleixandre	1975	1
<http://data.bnf.fr/ark:/12148/cb11885602w#about>	Vicente Aleixandre	1977	1
<http://data.bnf.fr/ark:/12148/cb11885602w#about>	Vicente Aleixandre	1980	1
<http://data.bnf.fr/ark:/12148/cb12028415x#about>	Johannes Vilhelm Jensen	1920	1
<http://data.bnf.fr/ark:/12148/cb12028415x#about>	Johannes Vilhelm Jensen	1928	1
