prize_year,name,citizen,language
1990,Octavio Paz,Mexico,Spanish
1991,Nadine Gordimer,South Africa,English
1992,Derek Walcott,Saint Lucia,English
1993,Toni Morrison,United States,English
1994,Kenzaburō Ōe,Japan,Japanese
1995,Seamus Heaney,Ireland,English
1996,Wisława Szymborska,Poland,Polish
1997,Dario Fo,Italy,Italian
1998,José Saramago,Portugal,Portuguese
1999,Günter Grass,Germany,German
2000,Gao Xingjian,France;Taiwan,Chinese
2001,Vidiadhar Surajprasad Naipaul,United Kingdom;Trinidad and Tobago,English
2002,Imre Kertész,Hungary,Hungarian
2003,John Maxwell Coetzee,South Africa,English
2004,Elfriede Jelinek,Austria,German
2005,Harold Pinter,United Kingdom,English
2006,Orhan Pamuk,Turkey,Turkish
2007,Doris Lessing,United Kingdom;Zimbabwe;Iran,English
2008,Jean-Marie Gustave Le Clézio,France;Mauritius,French
2009,Herta Müller,Germany;Romania,German
2010,Mario Vargas Llosa,Peru;Spain;Dominican Republic,Spanish
2011,Tomas Tranströmer,Sweden,Swedish
2012,Mo Yan,China,Chinese
2013,Alice Munro,Canada,English
2014,Patrick Modiano,France,French
2015,Svetlana Alexievich,Belarus;Soviet Union,Russian
2016,Bob Dylan,United States,English
2017,Kazuo Ishiguro,United Kingdom;Japan,English
2018,Olga Tokarczuk,Poland,Polish
2019,Peter Handke,Austria,German
2020,Louise Glück,United States,English
2021,Abdulrazak Gurnah,Tanzania;United Kingdom;Zanzibar,English
2022,Annie Ernaux,France,French
