name,year,editions
Octavio Paz,1965,2
Octavio Paz,1970,3
Octavio Paz,1971,3
Octavio Paz,1973,3
Octavio Paz,1974,1
Octavio Paz,1975,1
Octavio Paz,1977,3
Octavio Paz,1979,3
Octavio Paz,1980,6
Octavio Paz,1981,2
Octavio Paz,1982,5
Octavio Paz,1983,2
Octavio Paz,1984,22
Octavio Paz,1985,1
Octavio Paz,1987,6
Octavio Paz,1988,2
Octavio Paz,1989,2
Octavio Paz,1990,17
Octavio Paz,1991,10
Octavio Paz,1993,1
Octavio Paz,1994,9
Octavio Paz,1995,3
Octavio Paz,1996,3
Octavio Paz,1997,3
Octavio Paz,1998,1
Octavio Paz,1999,1
Octavio Paz,2000,2
Octavio Paz,2001,2
Octavio Paz,2002,3
Octavio Paz,2003,2
Octavio Paz,2004,1
Octavio Paz,2011,1
Octavio Paz,2014,2
Octavio Paz,2016,2
Octavio Paz,2017,1
Octavio Paz,2020,1
Nadine Gordimer,1956,2
Nadine Gordimer,1959,2
Nadine Gordimer,1960,1
Nadine Gordimer,1962,2
Nadine Gordimer,1963,2
Nadine Gordimer,1977,1
Nadine Gordimer,1978,2
Nadine Gordimer,1980,3
Nadine Gordimer,1981,2
Nadine Gordimer,1982,8
Nadine Gordimer,1983,9
Nadine Gordimer,1984,3
Nadine Gordimer,1985,4
Nadine Gordimer,1986,8
Nadine Gordimer,1987,5
Nadine Gordimer,1988,3
Nadine Gordimer,1989,7
Nadine Gordimer,1990,1
Nadine Gordimer,1991,20
Nadine Gordimer,1992,7
Nadine Gordimer,1994,4
Nadine Gordimer,1995,6
Nadine Gordimer,1996,2
Nadine Gordimer,1997,2
Nadine Gordimer,1998,3
Nadine Gordimer,1999,2
Nadine Gordimer,2000,2
Nadine Gordimer,2001,3
Nadine Gordimer,2002,5
Nadine Gordimer,2003,2
Nadine Gordimer,2005,3
Nadine Gordimer,2006,1
Nadine Gordimer,2007,2
Nadine Gordimer,2008,4
Nadine Gordimer,2010,1
Nadine Gordimer,2012,5
Nadine Gordimer,2013,7
