name,year,editions
Octavio Paz,1965,1
Octavio Paz,1971,1
Octavio Paz,1990,1
Octavio Paz,2000,1
Octavio Paz,2002,1
Nadine Gordimer,1978,2
Nadine Gordimer,1976,1
Nadine Gordimer,1984,1
Nadine Gordimer,1999,1
Nadine Gordimer,2001,1
Nadine Gordimer,2006,1
Nadine Gordimer,2011,1
Derek Walcott,1993,1
Toni Morrison,2017,2
Toni Morrison,2018,2
Toni Morrison,1986,1
Toni Morrison,1993,1
Toni Morrison,2000,1
Toni Morrison,2006,1
Toni Morrison,2007,1
Toni Morrison,2008,1
Kenzaburō Ōe,1997,1
Kenzaburō Ōe,2011,1
Seamus Heaney,1997,1
Seamus Heaney,2010,1
Seamus Heaney,2016,1
Wisława Szymborska,1988,1
Wisława Szymborska,1997,1
Wisława Szymborska,2021,1
Dario Fo,1989,3
Dario Fo,1961,2
Dario Fo,2012,2
Dario Fo,1987,1
Dario Fo,2001,1
Dario Fo,2008,1
José Saramago,1989,1
José Saramago,1992,1
José Saramago,1993,1
José Saramago,1997,1
José Saramago,1998,1
José Saramago,1999,2
José Saramago,2000,1
José Saramago,2003,2
José Saramago,2004,2
José Saramago,2005,1
José Saramago,2006,1
José Saramago,2007,2
José Saramago,2008,3
José Saramago,2010,2
José Saramago,2011,2
José Saramago,2012,3
José Saramago,2013,1
José Saramago,2014,2
José Saramago,2016,1
José Saramago,2018,1
José Saramago,2021,2
Günter Grass,1968,1
Günter Grass,1969,1
Günter Grass,1973,1
Günter Grass,1980,1
Günter Grass,1981,1
Günter Grass,1988,1
Günter Grass,1993,1
Günter Grass,1994,1
Günter Grass,1999,2
Günter Grass,2000,2
Günter Grass,2001,1
Günter Grass,2003,1
Günter Grass,2004,3
Günter Grass,2005,1
Günter Grass,2007,2
Günter Grass,2009,1
Günter Grass,2010,1
Günter Grass,2016,2
Gao Xingjian,2008,1
Vidiadhar Surajprasad Naipaul,1983,1
Vidiadhar Surajprasad Naipaul,1984,1
Vidiadhar Surajprasad Naipaul,2001,1
Vidiadhar Surajprasad Naipaul,2004,1
Vidiadhar Surajprasad Naipaul,2005,1
John Maxwell Coetzee,1987,1
John Maxwell Coetzee,2000,1
John Maxwell Coetzee,2003,3
John Maxwell Coetzee,2004,1
John Maxwell Coetzee,2005,1
John Maxwell Coetzee,2006,1
John Maxwell Coetzee,2007,1
John Maxwell Coetzee,2008,1
John Maxwell Coetzee,2013,1
John Maxwell Coetzee,2014,1
John Maxwell Coetzee,2018,1
John Maxwell Coetzee,2019,2
John Maxwell Coetzee,2020,2
John Maxwell Coetzee,2021,2
John Maxwell Coetzee,2022,1
