name,year,editions
Octavio Paz,1981,1
Octavio Paz,1990,3
Octavio Paz,1991,1
Octavio Paz,1995,1
Octavio Paz,1996,3
Octavio Paz,1997,3
Octavio Paz,1998,4
Octavio Paz,2000,4
Octavio Paz,2009,1
Nadine Gordimer,1964,1
Nadine Gordimer,1969,1
Nadine Gordimer,1979,1
Nadine Gordimer,1982,1
Nadine Gordimer,1984,1
Nadine Gordimer,1996,1
Nadine Gordimer,1999,1
Nadine Gordimer,2000,1
Nadine Gordimer,2006,1
Nadine Gordimer,2008,1
Nadine Gordimer,2010,1
Nadine Gordimer,2013,1
Nadine Gordimer,2014,1
Derek Walcott,1996,1
Derek Walcott,1999,1
Derek Walcott,2000,1
Derek Walcott,2002,2
Derek Walcott,2004,1
Derek Walcott,2008,1
Derek Walcott,2012,1
Toni Morrison,1980,1
Toni Morrison,1996,2
Toni Morrison,1999,2
Toni Morrison,2002,3
Toni Morrison,2005,1
Toni Morrison,2007,1
Toni Morrison,2008,1
Toni Morrison,2013,1
Toni Morrison,2014,3
Toni Morrison,2015,1
Toni Morrison,2016,1
Kenzaburō Ōe,1974,1
Kenzaburō Ōe,1979,1
Kenzaburō Ōe,1995,1
Kenzaburō Ōe,1998,1
Kenzaburō Ōe,2004,1
Kenzaburō Ōe,2005,1
Seamus Heaney,1994,1
Seamus Heaney,1995,3
Seamus Heaney,1996,16
Seamus Heaney,1997,3
Seamus Heaney,1998,4
Seamus Heaney,1999,2
Seamus Heaney,2000,3
Seamus Heaney,2001,2
Seamus Heaney,2002,3
Seamus Heaney,2003,6
Seamus Heaney,2004,2
Seamus Heaney,2005,2
Seamus Heaney,2006,1
Seamus Heaney,2009,5
Seamus Heaney,2010,2
Seamus Heaney,2011,1
Seamus Heaney,2013,2
Seamus Heaney,2015,1
Seamus Heaney,2016,2
Seamus Heaney,2017,1
Dario Fo,1997,1
Dario Fo,1998,2
Dario Fo,2004,1
Dario Fo,2005,1
Dario Fo,2006,1
Dario Fo,2015,1
José Saramago,1992,1
José Saramago,1998,6
José Saramago,1999,3
José Saramago,2000,2
José Saramago,2001,1
José Saramago,2002,2
José Saramago,2003,3
José Saramago,2004,1
José Saramago,2005,1
José Saramago,2006,2
José Saramago,2007,1
José Saramago,2008,1
José Saramago,2009,5
José Saramago,2010,4
José Saramago,2011,3
José Saramago,2012,4
José Saramago,2013,2
José Saramago,2014,1
José Saramago,2015,2
José Saramago,2016,3
José Saramago,2017,2
José Saramago,2018,1
José Saramago,2019,1
José Saramago,2020,1
Günter Grass,1963,1
Günter Grass,1979,2
Günter Grass,1982,1
Günter Grass,1983,1
Günter Grass,1984,1
Günter Grass,1985,1
Günter Grass,1986,2
Günter Grass,1988,2
Günter Grass,1990,3
Günter Grass,1991,2
Günter Grass,1992,5
Günter Grass,1993,1
Günter Grass,1994,2
Günter Grass,1995,3
Günter Grass,1996,1
Günter Grass,1997,5
Günter Grass,1998,2
Günter Grass,1999,11
Günter Grass,2000,9
Günter Grass,2001,6
Günter Grass,2002,4
Günter Grass,2003,5
Günter Grass,2004,1
Günter Grass,2005,3
Günter Grass,2006,7
Günter Grass,2007,7
Günter Grass,2008,2
Günter Grass,2009,2
Günter Grass,2010,1
Günter Grass,2011,4
Günter Grass,2012,2
Günter Grass,2015,2
Günter Grass,2016,1
Günter Grass,2017,1
Günter Grass,2020,2
Gao Xingjian,2001,1
Gao Xingjian,2004,2
Gao Xingjian,2008,2
Vidiadhar Surajprasad Naipaul,1971,1
Vidiadhar Surajprasad Naipaul,1972,1
Vidiadhar Surajprasad Naipaul,1974,2
Vidiadhar Surajprasad Naipaul,1977,1
Vidiadhar Surajprasad Naipaul,1979,1
Vidiadhar Surajprasad Naipaul,1980,1
Vidiadhar Surajprasad Naipaul,2001,3
Vidiadhar Surajprasad Naipaul,2002,7
Vidiadhar Surajprasad Naipaul,2004,1
Vidiadhar Surajprasad Naipaul,2005,2
Vidiadhar Surajprasad Naipaul,2009,1
Vidiadhar Surajprasad Naipaul,2010,1
